Unnamed: 0,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Rccovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population 2020,Yearly Change,Net Change,(P/Km²) Density,Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
104.0,Afghanistan,61755.0,300.0,2683.0,10.0,54019.0,5053.0,1124.0,1557.0,68.0,417283.0,10520.0,38928346.0,0.02,886592.0,60.0,652860.0,-62920.0,4.60,18,0.25,0.005
83.0,Albania,131510.0,,2406.0,,114362.0,14742.0,18.0,45740.0,837.0,647277.0,225129.0,2877797.0,0.0,-3120.0,105.0,27400.0,-14000.0,1.60,36,0.63,0.0004
86.0,Algeria,123473.0,,3307.0,,86007.0,34159.0,28.0,2774.0,74.0,230861.0,5186.0,43851044.0,0.02,797990.0,18.0,2381740.0,-10000.0,3.10,29,0.73,0.0056
138.0,Andorra,13390.0,27.0,127.0,,12936.0,327.0,12.0,173064.0,1641.0,193595.0,2502197.0,77265.0,0.0,123.0,164.0,470.0,,N.A.,N.A.,0.88,0.0
121.0,Angola,27921.0,,622.0,,24503.0,2796.0,35.0,828.0,18.0,510234.0,15130.0,32866272.0,0.03,1040977.0,26.0,1246700.0,6413.0,5.60,17,0.67,0.0042
190.0,Antigua and Barbuda,1232.0,,32.0,,1014.0,186.0,1.0,12493.0,324.0,16700.0,169347.0,97929.0,0.01,811.0,223.0,440.0,0.0,2.00,34,0.26,0.0
11.0,Argentina,3095582.0,,66263.0,,2757230.0,272089.0,5299.0,67966.0,1455.0,11610358.0,254915.0,45195774.0,0.01,415097.0,17.0,2736690.0,4800.0,2.30,32,0.93,0.0058
70.0,Armenia,218681.0,356.0,4209.0,17.0,203307.0,11165.0,,73681.0,1418.0,1008307.0,339734.0,2963243.0,0.0,5512.0,104.0,28470.0,-4998.0,1.80,35,0.63,0.0004
120.0,Australia,29893.0,7.0,910.0,,28712.0,271.0,1.0,1161.0,35.0,17080821.0,663346.0,25499884.0,0.01,296686.0,3.0,7682300.0,158246.0,1.80,38,0.86,0.0033
37.0,Austria,628817.0,1333.0,10351.0,18.0,599854.0,18612.0,417.0,69484.0,1144.0,33990188.0,3755890.0,9006398.0,0.01,51296.0,109.0,82409.0,65000.0,1.50,43,0.57,0.0012
53.0,Azerbaijan,325407.0,722.0,4650.0,15.0,302860.0,17897.0,,31852.0,455.0,3311267.0,324115.0,10139177.0,0.01,91459.0,123.0,82658.0,1200.0,2.10,32,0.56,0.0013
152.0,Bahamas,10773.0,62.0,212.0,1.0,9781.0,780.0,5.0,27176.0,535.0,89754.0,226414.0,393244.0,0.01,3762.0,39.0,10010.0,1000.0,1.80,32,0.86,0.0001
77.0,Bahrain,184697.0,,670.0,,172006.0,12021.0,101.0,105479.0,383.0,4189757.0,2392728.0,1701575.0,0.04,60403.0,2239.0,760.0,47800.0,2.00,32,0.89,0.0002
33.0,Bangladesh,770842.0,1682.0,11833.0,37.0,704341.0,54668.0,1115.0,4642.0,71.0,5599276.0,33715.0,164689383.0,0.01,1643222.0,1265.0,130170.0,-369501.0,2.10,28,0.39,0.0211
172.0,Barbados,3929.0,,45.0,,3831.0,53.0,,13658.0,156.0,156736.0,544841.0,287375.0,0.0,350.0,668.0,430.0,-79.0,1.60,40,0.31,0.0
49.0,Belarus,366305.0,1354.0,2612.0,10.0,356842.0,6851.0,,38776.0,276.0,5958089.0,630706.0,9449323.0,0.0,-3088.0,47.0,202910.0,8730.0,1.70,40,0.79,0.0012
28.0,Belgium,1007264.0,3518.0,24444.0,38.0,878558.0,104262.0,757.0,86592.0,2101.0,12821364.0,1102223.0,11589623.0,0.0,50295.0,383.0,30280.0,48000.0,1.70,42,0.98,0.0015
143.0,Belize,12682.0,,323.0,,12273.0,86.0,1.0,31414.0,800.0,120377.0,298182.0,397628.0,0.02,7275.0,17.0,22810.0,1200.0,2.30,25,0.46,0.0001
156.0,Benin,7884.0,,100.0,,7652.0,132.0,35.0,636.0,8.0,595112.0,48033.0,12123200.0,0.03,322049.0,108.0,112760.0,-2000.0,4.90,19,0.48,0.0016
193.0,Bhutan,1190.0,29.0,1.0,,1037.0,152.0,,1528.0,1.0,721983.0,927073.0,771608.0,0.01,8516.0,20.0,38117.0,320.0,2.00,28,0.46,0.0001
56.0,Bolivia,314190.0,1783.0,13151.0,28.0,258068.0,42971.0,158.0,26610.0,1114.0,1226152.0,103847.0,11673021.0,0.01,159921.0,11.0,1083300.0,-9504.0,2.80,26,0.69,0.0015
75.0,Bosnia and Herzegovina,200693.0,340.0,8790.0,28.0,164717.0,27186.0,,61496.0,2693.0,922568.0,282692.0,3280819.0,-0.01,-20181.0,64.0,51000.0,-21585.0,1.30,43,0.52,0.0004
107.0,Botswana,48417.0,,734.0,,46226.0,1457.0,1.0,20245.0,307.0,1086267.0,454209.0,2351627.0,0.02,47930.0,4.0,566730.0,3000.0,2.90,24,0.73,0.0003
3.0,Brazil,15009023.0,,417176.0,,13591335.0,1000512.0,8318.0,70189.0,1951.0,46616516.0,218001.0,212559417.0,0.01,1509890.0,25.0,8358140.0,21200.0,1.70,33,0.88,0.0273
201.0,Brunei,229.0,1.0,3.0,,218.0,8.0,,519.0,7.0,121565.0,275648.0,437479.0,0.01,4194.0,83.0,5270.0,0.0,1.80,32,0.80,0.0001
44.0,Bulgaria,408372.0,,16800.0,,345489.0,46083.0,587.0,59150.0,2433.0,2562234.0,371120.0,6948445.0,-0.01,-51674.0,64.0,108560.0,-4800.0,1.60,45,0.76,0.0009
139.0,Burkina Faso,13353.0,,162.0,,13111.0,80.0,,624.0,8.0,181252.0,8476.0,20903273.0,0.03,581895.0,76.0,273600.0,-25000.0,5.20,18,0.31,0.0027
169.0,Burundi,4093.0,,6.0,,773.0,3314.0,,336.0,0.5,90019.0,7386.0,11890784.0,0.03,360204.0,463.0,25680.0,2001.0,5.50,17,0.14,0.0015
122.0,Cabo Verde,25526.0,,230.0,,22105.0,3191.0,23.0,45494.0,410.0,154030.0,274523.0,555987.0,0.01,6052.0,138.0,4030.0,-1342.0,2.30,28,0.68,0.0001
133.0,Cambodia,18179.0,558.0,114.0,,6884.0,11181.0,,1075.0,7.0,975806.0,57692.0,16718965.0,0.01,232423.0,95.0,176520.0,-30000.0,2.50,26,0.24,0.0021
99.0,Cameroon,74946.0,,1152.0,,70497.0,3297.0,385.0,2765.0,43.0,1257949.0,46418.0,26545863.0,0.03,669483.0,56.0,472710.0,-4800.0,4.60,19,0.56,0.0034
22.0,Canada,1265320.0,,24489.0,,1159506.0,81325.0,1456.0,33279.0,644.0,32266260.0,848630.0,37742154.0,0.01,331107.0,4.0,9093510.0,242032.0,1.50,41,0.81,0.0048
189.0,Caribbean Netherlands,1573.0,,16.0,,1540.0,17.0,,59518.0,605.0,10040.0,379886.0,26223.0,0.01,244.0,80.0,328.0,,N.A.,N.A.,0.75,0.0
159.0,Central African Republic,6674.0,,93.0,,5112.0,1469.0,2.0,1362.0,19.0,40907.0,8348.0,4829767.0,0.02,84582.0,8.0,622980.0,-40000.0,4.80,18,0.43,0.0006
166.0,Chad,4854.0,,170.0,,4612.0,72.0,,289.0,10.0,114926.0,6832.0,16425864.0,0.03,478988.0,13.0,1259200.0,2000.0,5.80,17,0.23,0.0021
171.0,Channel Islands,4056.0,,86.0,,3956.0,14.0,,23149.0,491.0,454413.0,2593445.0,173863.0,0.01,1604.0,915.0,190.0,1351.0,1.50,43,0.30,0.0
23.0,Chile,1235778.0,6530.0,27004.0,109.0,1170437.0,38337.0,3176.0,64180.0,1402.0,13432114.0,697599.0,19116201.0,0.01,164163.0,26.0,743532.0,111708.0,1.70,35,0.85,0.0025
96.0,China,90739.0,13.0,4636.0,,85795.0,308.0,3.0,63.0,3.0,160000000.0,111163.0,1439323776.0,0.0,5540090.0,153.0,9388211.0,-348399.0,1.70,38,0.61,0.1847
12.0,Colombia,2951101.0,,76414.0,,2773220.0,101467.0,6006.0,57481.0,1488.0,15201520.0,296092.0,50882891.0,0.01,543448.0,46.0,1109500.0,204796.0,1.80,31,0.80,0.0065
173.0,Comoros,3847.0,,146.0,,3681.0,20.0,,4346.0,165.0,,,869601.0,0.02,18715.0,467.0,1861.0,-2000.0,4.20,20,0.29,0.0001
61.0,Costa Rica,263094.0,,3341.0,,211043.0,48710.0,409.0,51251.0,651.0,1025064.0,199685.0,5094118.0,0.01,46557.0,100.0,51060.0,4200.0,1.80,33,0.80,0.0007
51.0,Croatia,342487.0,1435.0,7388.0,33.0,323834.0,11265.0,242.0,83865.0,1809.0,1863305.0,456268.0,4105267.0,-0.01,-25037.0,73.0,55960.0,-8001.0,1.40,44,0.58,0.0005
90.0,Cuba,113876.0,1162.0,713.0,12.0,107476.0,5687.0,115.0,10059.0,63.0,3787896.0,334597.0,11326616.0,0.0,-6867.0,106.0,106440.0,-14400.0,1.60,42,0.78,0.0015
102.0,Cyprus,68442.0,,328.0,,39061.0,29053.0,63.0,56341.0,270.0,5124872.0,4218752.0,1207359.0,0.01,8784.0,131.0,9240.0,5000.0,1.30,37,0.67,0.0002
119.0,Democratic Republic of the Congo,30240.0,39.0,772.0,2.0,26324.0,3144.0,,329.0,8.0,151894.0,1654.0,89561403.0,0.03,2770836.0,40.0,2267050.0,23861.0,6.00,17,0.46,0.0115
63.0,Denmark,257505.0,1023.0,2495.0,2.0,244364.0,10646.0,34.0,44325.0,429.0,41474152.0,7139078.0,5792202.0,0.0,20326.0,137.0,42430.0,15200.0,1.80,42,0.88,0.0007
149.0,Djibouti,11319.0,12.0,148.0,,11041.0,130.0,,11318.0,148.0,151665.0,151649.0,988000.0,0.01,14440.0,43.0,23180.0,900.0,2.80,27,0.79,0.0001
203.0,Dominica,174.0,,,,172.0,2.0,,2412.0,,14936.0,207050.0,71986.0,0.0,178.0,96.0,750.0,,N.A.,N.A.,0.74,0.0
60.0,Dominican Republic,269184.0,,3514.0,,230033.0,35637.0,215.0,24606.0,321.0,1423534.0,130125.0,10847910.0,0.01,108952.0,225.0,48320.0,-30000.0,2.40,28,0.85,0.0014
45.0,Ecuador,395327.0,,19018.0,,329582.0,46727.0,621.0,22124.0,1064.0,1322673.0,74021.0,17643054.0,0.02,269392.0,71.0,248360.0,36400.0,2.40,28,0.63,0.0023
68.0,Egypt,234015.0,,13714.0,,175117.0,45184.0,90.0,2251.0,132.0,2715258.0,26119.0,102334404.0,0.02,1946331.0,103.0,995450.0,-38033.0,3.30,25,0.43,0.0131
100.0,El Salvador,70255.0,126.0,2146.0,3.0,65778.0,2331.0,31.0,10785.0,329.0,934357.0,143441.0,6486205.0,0.01,32652.0,313.0,20720.0,-40539.0,2.10,28,0.73,0.0008
157.0,Equatorial Guinea,7694.0,,112.0,,7279.0,303.0,7.0,5337.0,78.0,123169.0,85441.0,1402985.0,0.03,46999.0,50.0,28050.0,16000.0,4.60,22,0.73,0.0002
175.0,Eritrea,3734.0,,12.0,,3602.0,120.0,,1041.0,3.0,23693.0,6604.0,3546421.0,0.01,49304.0,35.0,101000.0,-39858.0,4.10,19,0.63,0.0005
85.0,Estonia,124529.0,383.0,1193.0,6.0,115060.0,8276.0,50.0,93822.0,899.0,1318022.0,993017.0,1326535.0,0.0,887.0,31.0,42390.0,3911.0,1.60,42,0.68,0.0002
