,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Rccovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop
104,Afghanistan,61755.00,300.00,2683.00,10.00,54019.00,5053.00,1124.00,1557.00,68.00,417283.00,10520.00
83,Albania,131510.00,,2406.00,,114362.00,14742.00,18.00,45740.00,837.00,647277.00,225129.00
86,Algeria,123473.00,,3307.00,,86007.00,34159.00,28.00,2774.00,74.00,230861.00,5186.00
138,Andorra,13390.00,27.00,127.00,,12936.00,327.00,12.00,173064.00,1641.00,193595.00,2502197.00
121,Angola,27921.00,,622.00,,24503.00,2796.00,35.00,828.00,18.00,510234.00,15130.00
207,Anguilla,95.00,,,,35.00,60.00,,6285.00,,21024.00,1390844.00
190,Antigua and Barbuda,1232.00,,32.00,,1014.00,186.00,1.00,12493.00,324.00,16700.00,169347.00
11,Argentina,3095582.00,,66263.00,,2757230.00,272089.00,5299.00,67966.00,1455.00,11610358.00,254915.00
70,Armenia,218681.00,356.00,4209.00,17.00,203307.00,11165.00,,73681.00,1418.00,1008307.00,339734.00
154,Aruba,10736.00,15.00,100.00,,10505.00,131.00,14.00,100197.00,933.00,151652.00,1415338.00
120,Australia,29893.00,7.00,910.00,,28712.00,271.00,1.00,1161.00,35.00,17080821.00,663346.00
37,Austria,628817.00,1333.00,10351.00,18.00,599854.00,18612.00,417.00,69484.00,1144.00,33990188.00,3755890.00
53,Azerbaijan,325407.00,722.00,4650.00,15.00,302860.00,17897.00,,31852.00,455.00,3311267.00,324115.00
152,Bahamas,10773.00,62.00,212.00,1.00,9781.00,780.00,5.00,27176.00,535.00,89754.00,226414.00
77,Bahrain,184697.00,,670.00,,172006.00,12021.00,101.00,105479.00,383.00,4189757.00,2392728.00
33,Bangladesh,770842.00,1682.00,11833.00,37.00,704341.00,54668.00,1115.00,4642.00,71.00,5599276.00,33715.00
172,Barbados,3929.00,,45.00,,3831.00,53.00,,13658.00,156.00,156736.00,544841.00
49,Belarus,366305.00,1354.00,2612.00,10.00,356842.00,6851.00,,38776.00,276.00,5958089.00,630706.00
28,Belgium,1007264.00,3518.00,24444.00,38.00,878558.00,104262.00,757.00,86592.00,2101.00,12821364.00,1102223.00
143,Belize,12682.00,,323.00,,12273.00,86.00,1.00,31414.00,800.00,120377.00,298182.00
156,Benin,7884.00,,100.00,,7652.00,132.00,35.00,636.00,8.00,595112.00,48033.00
181,Bermuda,2432.00,3.00,30.00,,2062.00,340.00,14.00,39173.00,483.00,245104.00,3948005.00
193,Bhutan,1190.00,29.00,1.00,,1037.00,152.00,,1528.00,1.00,721983.00,927073.00
56,Bolivia,314190.00,1783.00,13151.00,28.00,258068.00,42971.00,158.00,26610.00,1114.00,1226152.00,103847.00
75,Bosnia and Herzegovina,200693.00,340.00,8790.00,28.00,164717.00,27186.00,,61496.00,2693.00,922568.00,282692.00
107,Botswana,48417.00,,734.00,,46226.00,1457.00,1.00,20245.00,307.00,1086267.00,454209.00
3,Brazil,15009023.00,,417176.00,,13591335.00,1000512.00,8318.00,70189.00,1951.00,46616516.00,218001.00
202,British Virgin Islands,216.00,,1.00,,191.00,24.00,,7105.00,33.00,39777.00,1308411.00
201,Brunei,229.00,1.00,3.00,,218.00,8.00,,519.00,7.00,121565.00,275648.00
44,Bulgaria,408372.00,,16800.00,,345489.00,46083.00,587.00,59150.00,2433.00,2562234.00,371120.00
139,Burkina Faso,13353.00,,162.00,,13111.00,80.00,,624.00,8.00,181252.00,8476.00
