Country,Population 2020,Yearly Change,Net Change,(P/Km²) Density,Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
Afghanistan,38928346.00,0.02,886592.00,60.00,652860.00,-62920.00,4.60,18,0.25,0.00500
Albania,2877797.00,0.00,-3120.00,105.00,27400.00,-14000.00,1.60,36,0.63,0.00040
Algeria,43851044.00,0.02,797990.00,18.00,2381740.00,-10000.00,3.10,29,0.73,0.00560
American Samoa ,55191.00,0.00,-121.00,276.00,200.00,,N.A.,N.A.,0.88,0.00000
Andorra,77265.00,0.00,123.00,164.00,470.00,,N.A.,N.A.,0.88,0.00000
Angola,32866272.00,0.03,1040977.00,26.00,1246700.00,6413.00,5.60,17,0.67,0.00420
Anguilla ,15003.00,0.01,134.00,167.00,90.00,,N.A.,N.A.,N.A.,0.00000
Antigua and Barbuda,97929.00,0.01,811.00,223.00,440.00,0.00,2.00,34,0.26,0.00000
Argentina,45195774.00,0.01,415097.00,17.00,2736690.00,4800.00,2.30,32,0.93,0.00580
Armenia,2963243.00,0.00,5512.00,104.00,28470.00,-4998.00,1.80,35,0.63,0.00040
Aruba (Netherlands),106766.00,0.00,452.00,593.00,180.00,201.00,1.90,41,0.44,0.00000
Australia,25499884.00,0.01,296686.00,3.00,7682300.00,158246.00,1.80,38,0.86,0.00330
Austria,9006398.00,0.01,51296.00,109.00,82409.00,65000.00,1.50,43,0.57,0.00120
Azerbaijan,10139177.00,0.01,91459.00,123.00,82658.00,1200.00,2.10,32,0.56,0.00130
Bahamas,393244.00,0.01,3762.00,39.00,10010.00,1000.00,1.80,32,0.86,0.00010
Bahrain,1701575.00,0.04,60403.00,2239.00,760.00,47800.00,2.00,32,0.89,0.00020
Bangladesh,164689383.00,0.01,1643222.00,1265.00,130170.00,-369501.00,2.10,28,0.39,0.02110
Barbados,287375.00,0.00,350.00,668.00,430.00,-79.00,1.60,40,0.31,0.00000
Belarus,9449323.00,0.00,-3088.00,47.00,202910.00,8730.00,1.70,40,0.79,0.00120
Belgium,11589623.00,0.00,50295.00,383.00,30280.00,48000.00,1.70,42,0.98,0.00150
Belize,397628.00,0.02,7275.00,17.00,22810.00,1200.00,2.30,25,0.46,0.00010
Benin,12123200.00,0.03,322049.00,108.00,112760.00,-2000.00,4.90,19,0.48,0.00160
Bermuda ,62278.00,0.00,-228.00,1246.00,50.00,,N.A.,N.A.,0.97,0.00000
Bhutan,771608.00,0.01,8516.00,20.00,38117.00,320.00,2.00,28,0.46,0.00010
Bolivia,11673021.00,0.01,159921.00,11.00,1083300.00,-9504.00,2.80,26,0.69,0.00150
Bosnia and Herzegovina,3280819.00,-0.01,-20181.00,64.00,51000.00,-21585.00,1.30,43,0.52,0.00040
Botswana,2351627.00,0.02,47930.00,4.00,566730.00,3000.00,2.90,24,0.73,0.00030
Brazil,212559417.00,0.01,1509890.00,25.00,8358140.00,21200.00,1.70,33,0.88,0.02730
British Virgin Islands ,30231.00,0.01,201.00,202.00,150.00,,N.A.,N.A.,0.52,0.00000
Brunei,437479.00,0.01,4194.00,83.00,5270.00,0.00,1.80,32,0.80,0.00010
Bulgaria,6948445.00,-0.01,-51674.00,64.00,108560.00,-4800.00,1.60,45,0.76,0.00090
Burkina Faso,20903273.00,0.03,581895.00,76.00,273600.00,-25000.00,5.20,18,0.31,0.00270
Burundi,11890784.00,0.03,360204.00,463.00,25680.00,2001.00,5.50,17,0.14,0.00150
Cabo Verde,555987.00,0.01,6052.00,138.00,4030.00,-1342.00,2.30,28,0.68,0.00010
Cambodia,16718965.00,0.01,232423.00,95.00,176520.00,-30000.00,2.50,26,0.24,0.00210
Cameroon,26545863.00,0.03,669483.00,56.00,472710.00,-4800.00,4.60,19,0.56,0.00340
Canada,37742154.00,0.01,331107.00,4.00,9093510.00,242032.00,1.50,41,0.81,0.00480
Caribbean Netherlands,26223.00,0.01,244.00,80.00,328.00,,N.A.,N.A.,0.75,0.00000
Cayman Islands ,65722.00,0.01,774.00,274.00,240.00,,N.A.,N.A.,0.97,0.00000
Central African Republic,4829767.00,0.02,84582.00,8.00,622980.00,-40000.00,4.80,18,0.43,0.00060
Chad,16425864.00,0.03,478988.00,13.00,1259200.00,2000.00,5.80,17,0.23,0.00210
Channel Islands,173863.00,0.01,1604.00,915.00,190.00,1351.00,1.50,43,0.30,0.00000
Chile,19116201.00,0.01,164163.00,26.00,743532.00,111708.00,1.70,35,0.85,0.00250
China,1439323776.00,0.00,5540090.00,153.00,9388211.00,-348399.00,1.70,38,0.61,0.18470
Colombia,50882891.00,0.01,543448.00,46.00,1109500.00,204796.00,1.80,31,0.80,0.00650
Comoros,869601.00,0.02,18715.00,467.00,1861.00,-2000.00,4.20,20,0.29,0.00010
Republic of the Congo,5518087.00,0.03,137579.00,16.00,341500.00,-4000.00,4.50,19,0.70,0.00070
Cook Islands,17564.00,0.00,16.00,73.00,240.00,,N.A.,N.A.,0.75,0.00000
Costa Rica,5094118.00,0.01,46557.00,100.00,51060.00,4200.00,1.80,33,0.80,0.00070
Ivory Coast,26378274.00,0.03,661730.00,83.00,318000.00,-8000.00,4.70,19,0.51,0.00340
Croatia,4105267.00,-0.01,-25037.00,73.00,55960.00,-8001.00,1.40,44,0.58,0.00050
Cuba,11326616.00,0.00,-6867.00,106.00,106440.00,-14400.00,1.60,42,0.78,0.00150
Curacao ,164093.00,0.00,669.00,370.00,444.00,515.00,1.80,42,0.89,0.00000
Cyprus,1207359.00,0.01,8784.00,131.00,9240.00,5000.00,1.30,37,0.67,0.00020
Czechia,10708981.00,0.00,19772.00,139.00,77240.00,22011.00,1.60,43,0.74,0.00140
Denmark,5792202.00,0.00,20326.00,137.00,42430.00,15200.00,1.80,42,0.88,0.00070
